word,url,width,height
here,http://media0.giphy.com/media/roAneQJAPIMjm/200_d.gif,500,213
independent,http://media0.giphy.com/media/bDO4NFhkhGAuI/200_d.gif,400,343
urban,http://media0.giphy.com/media/gPwTVfOAXie4M/200_d.gif,240,180
republic,http://media0.giphy.com/media/u7ZcPNK0WdsdO/200_d.gif,500,356
(as,http://media0.giphy.com/media/GybHRMiucF9Ys/200_d.gif,500,281
italy,http://media0.giphy.com/media/pc8mrxVnU3cDm/200_d.gif,245,310
germany),http://media0.giphy.com/media/C32ismWGbvqYo/200_d.gif,640,360
there,http://media0.giphy.com/media/hj5eocrGJZPZ6/200_d.gif,400,154
taxable,none,,
"""third",http://media0.giphy.com/media/1u9OYndEN4D2U/200_d.gif,400,247
"estate""",http://media0.giphy.com/media/iL0g5f8C9DzdS/200_d.gif,240,180
monarchy,http://media0.giphy.com/media/YsKyiuU7i05Mc/200_d.gif,490,531
france),http://media0.giphy.com/media/Zw4yKKqNmYPug/200_d.gif,400,202
afterward,http://media0.giphy.com/media/sdTyd3K5IltkY/200_d.gif,500,375
period,http://media0.giphy.com/media/IqKCDr0pB3NYs/200_d.gif,360,360
proper,http://media0.giphy.com/media/Ueoag5V5ApW6c/200_d.gif,450,371
serving,http://media0.giphy.com/media/IO6NNyE7mqixa/200_d.gif,640,360
semi-feudal,none,,
absolute,http://media0.giphy.com/media/Ah52ZFuy6hskw/200_d.gif,250,200
counterpoise,none,,
cornerstone,http://media0.giphy.com/media/vRQ395ClZODIs/200_d.gif,600,476
monarchies,http://media0.giphy.com/media/YsKyiuU7i05Mc/200_d.gif,490,531
general,http://media0.giphy.com/media/UIeLsVh8P64G4/200_d.gif,659,427
last,http://media0.giphy.com/media/aPTXkNEBJGjOU/200_d.gif,495,276
since,http://media0.giphy.com/media/110Q15oG5R4qTS/200_d.gif,320,197
establishment,http://media0.giphy.com/media/xGU3qf6wYeV3i/200_d.gif,500,200
conquered,http://media0.giphy.com/media/CCMUhmeAKITM4/200_d.gif,245,160
representative,http://media0.giphy.com/media/DJSPYSuaadvW0/200_d.gif,800,600
state,http://media0.giphy.com/media/13Ik5OUfo2VZoA/200_d.gif,320,180
exclusive,http://media1.giphy.com/media/nh04DQ2fwhItO/200_d.gif,500,250
executive,http://media0.giphy.com/media/yszTTiW8pkdGM/200_d.gif,245,180
committee,http://media0.giphy.com/media/QBl5lLflwO4k8/200_d.gif,245,216
managing,http://media0.giphy.com/media/y2vgfyDCLk5eU/200_d.gif,693,387
affairs,http://media0.giphy.com/media/yNldIEA9XD7TW/200_d.gif,245,131
historically,http://media0.giphy.com/media/12jMgbVwJRQ0ms/200_d.gif,500,282
played,http://media0.giphy.com/media/CDW55CuGbLrgY/200_d.gif,380,225
most,http://media0.giphy.com/media/jkPQbx6eqoLK0/200_d.gif,512,288
part,http://media0.giphy.com/media/HRrxAdtzQ6llC/200_d.gif,240,180
wherever,http://media0.giphy.com/media/ARxsi0YOVsVYA/200_d.gif,500,300
got,http://media0.giphy.com/media/W6vq5qLStzYys/200_d.gif,500,255
upper,http://media0.giphy.com/media/WfY9ltpnZdQRi/200_d.gif,638,339
hand,http://media0.giphy.com/media/iNqgCEGa6iOxG/200_d.gif,300,300
put,http://media0.giphy.com/media/FBdXqfaCWDug0/200_d.gif,233,310
patriarchal,http://media0.giphy.com/media/RWfI6fuoljUGY/200_d.gif,245,185
